whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
13754,Manuel Neuer,37,Bayern,GK,1,2025/26,Champions League,whoscored
248010,Konrad Laimer,37,Bayern,DR,27,2025/26,Champions League,whoscored
327721,Dayot Upamecano,37,Bayern,DC,2,2025/26,Champions League,whoscored
134946,Jonathan Tah,37,Bayern,DC,4,2025/26,Champions League,whoscored
413272,Josip Stanisic,37,Bayern,DL,44,2025/26,Champions League,whoscored
283323,Joshua Kimmich,37,Bayern,DMC,6,2025/26,Champions League,whoscored
481079,Aleksandar Pavlovic,37,Bayern,DMC,45,2025/26,Champions League,whoscored
371281,Michael Olise,37,Bayern,AMR,17,2025/26,Champions League,whoscored
119501,Serge Gnabry,37,Bayern,AMC,7,2025/26,Champions League,whoscored
377168,Luis Díaz,37,Bayern,AML,14,2025/26,Champions League,whoscored
83532,Harry Kane,37,Bayern,FW,9,2025/26,Champions League,whoscored
372280,Sacha Boey,37,Bayern,Sub,23,2025/26,Champions League,whoscored
115519,Leon Goretzka,37,Bayern,Sub,8,2025/26,Champions League,whoscored
431282,Tom Bischof,37,Bayern,Sub,20,2025/26,Champions League,whoscored
426050,Nicolas Jackson,37,Bayern,Sub,11,2025/26,Champions League,whoscored
370912,Kim Min-Jae,37,Bayern,Sub,3,2025/26,Champions League,whoscored
35506,Sven Ulreich,37,Bayern,Sub,26,2025/26,Champions League,whoscored
423491,Jonas Urbig,37,Bayern,Sub,40,2025/26,Champions League,whoscored
565867,Cassiano Kiala,37,Bayern,Sub,30,2025/26,Champions League,whoscored
565868,David Santos,37,Bayern,Sub,47,2025/26,Champions League,whoscored
557706,Lennart Karl,37,Bayern,Sub,42,2025/26,Champions League,whoscored
362151,Robert Sánchez,15,Chelsea,GK,1,2025/26,Champions League,whoscored
403850,Malo Gusto,15,Chelsea,DR,27,2025/26,Champions League,whoscored
353292,Trevoh Chalobah,15,Chelsea,DC,23,2025/26,Champions League,whoscored
136464,Tosin Adarabioyo,15,Chelsea,DC,4,2025/26,Champions League,whoscored
363496,Marc Cucurella,15,Chelsea,DL,3,2025/26,Champions League,whoscored
410175,Moisés Caicedo,15,Chelsea,DMC,25,2025/26,Champions League,whoscored
361330,Reece James,15,Chelsea,DMC,24,2025/26,Champions League,whoscored
395692,Cole Palmer,15,Chelsea,AMR,10,2025/26,Champions League,whoscored
369430,Enzo Fernández,15,Chelsea,AMC,8,2025/26,Champions League,whoscored
337916,Pedro Neto,15,Chelsea,AML,7,2025/26,Champions League,whoscored
373525,João Pedro,15,Chelsea,FW,20,2025/26,Champions League,whoscored
437022,Alejandro Garnacho,15,Chelsea,Sub,49,2025/26,Champions League,whoscored
451236,Andrey Santos,15,Chelsea,Sub,17,2025/26,Champions League,whoscored
510728,Estêvão,15,Chelsea,Sub,41,2025/26,Champions League,whoscored
432384,Facundo Buonanotte,15,Chelsea,Sub,40,2025/26,Champions League,whoscored
404749,Filip Jörgensen,15,Chelsea,Sub,12,2025/26,Champions League,whoscored
373946,Wesley Fofana,15,Chelsea,Sub,29,2025/26,Champions League,whoscored
467715,Jorrel Hato,15,Chelsea,Sub,21,2025/26,Champions League,whoscored
436425,Jamie Gittens,15,Chelsea,Sub,11,2025/26,Champions League,whoscored
518604,Josh Acheampong,15,Chelsea,Sub,34,2025/26,Champions League,whoscored
523597,Tyrique George,15,Chelsea,Sub,32,2025/26,Champions League,whoscored
483208,Marc Guiu,15,Chelsea,Sub,38,2025/26,Champions League,whoscored
515222,Ted Curd,15,Chelsea,Sub,35,2025/26,Champions League,whoscored
388668,Matej Kovár,129,PSV Eindhoven,GK,32,2025/26,Champions League,whoscored
379205,Sergiño Dest,129,PSV Eindhoven,DR,8,2025/26,Champions League,whoscored
331555,Jerdy Schouten,129,PSV Eindhoven,DC,22,2025/26,Champions League,whoscored
345333,Armando Obispo,129,PSV Eindhoven,DC,4,2025/26,Champions League,whoscored
