understat_player_id,player_name
101,Allan Saint-Maximin
148,Dante
318,Pierre-Emerick Aubameyang
343,Pierre-Emile Højbjerg
399,Ulisses García
497,Francis Coquelin
502,Olivier Giroud
643,Eric Dier
782,Ben Chilwell
849,Chancel Mbemba
914,Nabil Bentaleb
942,Florian Thauvin
1144,Seko Fofana
1209,Ciro Immobile
1245,Emerson
1326,Assane Diousse
1516,Geoffrey Kondogbia
1734,Sofiane Boufal
1740,Paul Pogba
1750,Ainsley Maitland-Niles
1754,Joel Asoro
1760,Arthur Masuaku
2063,Timothée Kolodziejczak
2082,Youssef El-Arabi
2225,Gerónimo Rulli
2276,Lucas Hernández
2447,Fabián
2674,Thilo Kehrer
2897,Aleksandr Golovin
3223,Benjamin André
3226,Ousmane Dembélé
3237,Aissa Mandi
3239,Hamari Traore
3253,Frederic Guilbert
3269,Anthony Lopes
3276,Rachid Ghezzal
3285,Gaetan Perrin
3290,Benjamin Stambouli
3291,Adrien Rabiot
3297,Marquinhos
3348,Florian Sotoca
3357,Djibril Sidibe
3363,Benjamin Pavard
3390,Rémy Cabella
3393,Bouna Sarr
3475,Ludovic Blas
3495,Pierrick Capelle
3536,Jean-Victor Makengo
3544,Jeremie Boga
3549,Adrien Thomasson
3603,Corentin Tolisso
3673,Valentin Rongier
3674,Abdoulaye Touré
3696,Morgan Sanson
3697,Odsonne Edouard
3701,Gautier Lloris
3721,Romain Del Castillo
3743,Lucas Tousart
3772,Maxime Lopez
3785,Kelvin Adou
3786,Mathieu Cafaro
3799,Wesley Said
4764,Jean-Philippe Gbamin
4882,Laurent Abergel
4941,Hans Hateboer
5177,Caio Henrique
5197,Achraf Hakimi
5356,Breel Embolo
5598,Angel Gomes
5619,Pierre Lees-Melou
5648,Malang Sarr
5661,Jonathan Ikone
5680,Thomas Meunier
5684,Arnaud Nordin
5696,Vincent Marchetti
5727,Gauthier Hein
5732,Abdoulaye Bamba
5742,Hugo Magnetti
5745,Matthieu Udol
5756,Carlens Arcus
5768,Remy Descamps
5769,Habib Diallo
5803,Fode Toure
5962,Tanguy NDombele Alvaro
5975,Kenny Lala
5989,Moussa Niakhate
6006,Ruben Aguilar
6007,Nicolas Cozza
6017,Chidozie Awaziem
